1,1,"<p>Lo primero de todo debes tener paciencia. 1 mes de ejercicio no es nada en comparación con malos hábitos que puedes llevar años haciendo.</p><p>Te recomiendo que lo afrontes desde varias perspectivas:</p><p>1. Haz ejercicio que te guste y te permita estar motivado, sea lo que sea. Sigue una progresión y te recomiendo que te dejes asesorar por un entrenador personal. Obviamente cuanto más intenso sea el ejercicio y más días por semana entrenes más rápido verás resultados, pero no tengas prisa. Piensa en hacer algo que puedas mantener toda tu vida.</p><p>2. Debes tener buenos hábitos de alimentación. Aquí también te recomiendo que te dejes guíar por un nutricionista. Como recomendación general te diría que reduzcas el consumo de grasas e hidratos de carbono de alto índice glucémico y aumentes la ingesta en proteínas. Te recomiendo 4-5 comidas al día para no pasar hambre y evitar picar.</p><p>3. Otro aspecto clave es aumentar las actividades ligeras del día a día. En conjunto suma mucho salir a caminar, subir escaleras o hacer tareas domésticas.</p><p>Como ves no te he comentado nada sobre ejercicios específicos para el abdomen, ya que se ha demostrado que la pérdida de grasa no puede ser local. De nada sirve hacer miles de abdominales para perder barriga.</p><p>¡Ánimo con tu reto, seguro que lo consigues!</p>","2015-06-19 15:45:35","2015-06-19 15:45:35"
2,2,"<p>Para perder peso se recomienda combinar el entrenamiento de fuerza (máquinas, pesas, bandas elásticas, propio peso corporal, etc.) con ejercicios cardiovasculares (caminar, correr, nadar, bici, etc.). Como ejercicio cardiovascular se ha demostrado que es mejor hacer ejercicio interválico de alta intensidad que ejercicio moderado. En pocas palabras, es más eficaz hacer unos pocos sprints muy intensos que salir a correr 1 hora. Obviamente, tienes que seguir una buena progresión adaptada a tu nivel y adaptar los ejercicios a tu nivel, cosa que un entrenador personal sabrá indicarte perfectamente.</p><p>Y luego recuerda que buenos hábitos de alimentación y moverse mucho en el día a día te ayudará mucho.</p><p>¡A por ello!</p>","2015-06-19 15:55:32","2015-06-19 15:55:32"
424,2,"<p>a respuesta la tienes tu. el ejercicio.</p><p> quieres bajar peso?  dieta y entrenamiento. empieza ya hoy mismo, ves al gim apuntate y q te asesoren busca consejo en un nutricionista q te guie en las comidas. pero ya!!! mañana te quiero en el gim!!!! jeje suerte y bienvenido al maravilloso mundo del fitness</p>","2015-09-30 23:07:04","2015-09-30 23:07:04"
3,4,"<p>Tras un embarazo suelen quedar problemas con la zona abdominal y el suelo pélvico principalmente. Esta musculatura queda desacondicionada y existen ejercicios específicos para fortalecerla y que vuelva a la normalidad. Sin embargo, para las estrías no existe un ejercicio que las haga desaparecer. Por tanto, te recomiendo que consultes a un dermatólogo para ver si pudiera ayudarte. </p><p>Muchas gracias por tu pregunta.</p>","2015-06-19 21:37:46","2015-06-19 21:37:46"
4,5,"<p>Hola, eso se debe a una sobrecarga del músculo tibial anterior por falta de forma física. Lo que yo te recomiendo es ir aumentando la duración del entrenamiento poco a poco y complementarlo con ejercicios de fuerza general y de la zona en particular, con series de flexiones de tobillo.</p><p>Además,  deberás controlar el terreno por el que corres y hablar con un especialista en calzado para ver si tus zapatillas son las más correctas para correr la distancia que te has propuesto.</p><p>Un saludo.</p>","2015-06-19 21:42:47","2015-06-19 21:42:47"
54,5,"<p>Hola amigo!! los problemas mas comunes en la tibia suelen ser la inflamación del periostio, con la famosa periostitis. Normalmente se localiza en la cara interna de la tibia <span style=\"color: rgb(51, 51, 51);text-align: justify;\">y tiene su origen por entrenar en s</span><span style=\"color: rgb(51, 51, 51);text-align: justify;\">uperficies muy duras o realizar entrenamientos sin carga progresiva, falta de tono muscular. También suele producirse por entrenar con zapatillas viejas o inadecuadas. En muchos casos es por defectos biomecánicos como la pronación, una mala técnica de carrera...</span></p><p style=\"color: rgb(51, 51, 51);text-align: justify;background-color: rgb(255, 255, 255);\"><span style=\"color: rgb(85, 85, 85);\"></span></p><p style=\"color: rgb(85, 85, 85);text-align: left;background-color: rgb(255, 255, 255);\">Habría que valorar también el tibial  posterior, debido a su gran función de sostén del arco longitudinal interno o antipronador, este músculo transcurre por la cara interna de la tibia y en ocasiones se confunde con la periostitis... y por último habría que ver el tibial anterior, hay varios factores que predisponen a desarrollar esta lesión como la contractura del vientre múscular del mismo tibial o los gemelos, debilidad o descompensación de los tibiales, problemas de movilidad articular en el tobillo o pie, calzado inadecuado...</p><p style=\"color: rgb(85, 85, 85);text-align: left;background-color: rgb(255, 255, 255);\">En resumen!! ponte en manos de un profesional y que diagnostique cual es el problema y te de el tratamiento.</p><p style=\"color: rgb(85, 85, 85);text-align: left;background-color: rgb(255, 255, 255);\">Ánimo!!</p><p></p>","2015-07-01 21:15:23","2015-07-01 21:15:23"
68,5,"<p><font color=\"#000000\" face=\"Times New Roman\" size=\"3\"></font></p><p><span style=\"color: rgb(85, 85, 85);\"><font face=\"Calibri\"></font></span><font color=\"#000000\" face=\"Times New Roman\" size=\"3\"></font></p><p><span style=\"color: rgb(85, 85, 85);\"><font face=\"Calibri\">Estoy de acuerdo con mis colegas. Pero has de asegurarteque no se trate de una periostitis. Lesión por la que deberías guardar reposoun </font></span><span style=\"color: rgb(51, 51, 51);\"><font face=\"Calibri\">tiempo de recuperación suficiente (dos o tres semanas) <span> </span>para que el tejido del periostio se repare y rebaje la inflamación. Cuando vuelvas a correr controla la intensidad de tu carrera y que la distancia no sea demasiado larga al principio. Ten en cuenta la amortiguación de tus zapatillas (si tienen más de dos años ¡Jubílalas!) y ve al principio por terrenos blandos como césped, terrenos de tierra, ...) y por supuesto 10 minutos de estiramiento para asegurarte que no reaparezca la periostitis.</font></span><br/></p><p></p><p></p>","2015-07-05 09:15:45","2015-07-05 09:15:45"
260,5,"<p>¡Muy buenas!</p><p>Es posible que lo que tengas sea una periositis tibial (inflamación de la capa más externa del hueso). Los motivos de este dolor pueden ser varios; correr en superficies duras donde sufres un fuerte impacto, un calzado deportivo no adecuado, un cambio brusco del programa de entrenamiento y tambien por la baja forma física.</p><p>Mi consejo es que vuelvas a practicar la carrera de manera más progresiva, quizás te excediste en el entrenamiento después de pasar un tiempo sin correr y te causo este dolor. Para evitar el dolor lo ideal es hacer crioterapia (aplicar hielo 3-4 veces al dia) e inflamatorios si es necesario. </p><p>Para las próximas salidas realiza estiramientos de toda la musculatura implicada en la carrera (gemelos, soleo, cuádriceps...)</p><p>¡Un saludo!</p>","2015-08-28 15:18:06","2015-08-28 15:18:06"
324,5,"<p>Hola, como han dicho anteriormente parece una periostitis tibial, pero lo primero que debes hacer es parar e ir al traumatólogo o médico deportivo y que te den un diagnóstico y un tratamiento.</p><p>Hay muchos factores que pueden influir en las lesiones como han indicado mis compañeros. La gente se toma muy a la ligera eso de ir a correr..... unas zapatillas y a hacer kilómetros. Luego vienen las lesiones.</p><p>Alguien debería asesorarte de como empezar y de preparar tu cuerpo para correr antes de correr. </p><p>&#34;Ponte en forma para correr, no corras para ponerte en forma&#34;.</p><p>Recupérate pronto y bien!!<br/></p>","2015-09-14 21:45:12","2015-09-14 21:45:12"
5,6,"<p>Ese es un problema muy común en profesiones y hobbies que implican movimientos repetitivos. Para prevenir te recomiendo que hagas ejercicios de fuerza, especialmente de la zona que luego más ejercitas. Y es muy importante que cuando estés un largo periodo sin ensayar vuelvas poco a poco a la actividad. Por otro lado, aprovecha cualquier descanso para cambiar de postura.</p><p>Una vez tengas dolores te recomiendo que consultes a un fisioterapeuta.</p>","2015-06-20 10:11:19","2015-06-20 10:11:19"
